Log(E/eV)	Log(R/pc)	Syn	ICIR	IC	Dif	Acc	Adia
10.2105	0.482759	-7.90643	-11.2261	-10.8795	-18.152	-0.0158792	-7.67199
10.7368	0.482759	-7.38011	-10.7745	-10.706	-17.6257	-0.542195	-7.67199
11.2632	0.482759	-6.85379	-10.3985	-10.7021	-17.0994	-1.06851	-7.67199
11.7895	0.482759	-6.32748	-10.1775	-10.8769	-16.5731	-1.59483	-7.67199
12.3158	0.482759	-5.80116	-10.1719	-11.2002	-16.0467	-2.12114	-7.67199
12.8421	0.482759	-5.27485	-10.3849	-11.6294	-15.5204	-2.64746	-7.67199
13.3684	0.482759	-4.74853	-10.7669	-12.1228	-14.9941	-3.17377	-7.67199
13.8947	0.482759	-4.22221	-11.2454	-12.6483	-14.4678	-3.70009	-7.67199
14.4211	0.482759	-3.6959	-11.7663	-13.1868	-13.9415	-4.22641	-7.67199
14.9474	0.482759	-3.16958	-12.3031	-13.73	-13.4152	-4.75272	-7.67199
15.4737	0.482759	-2.64327	-12.8452	-14.2746	-12.8889	-5.27904	-7.67199
16	0.482759	-2.11695	-13.3889	-14.8194	-12.3625	-5.80535	-7.67199
6	0.551724	-12.2549	-15.2157	-14.4191	-22.4315	4.12568	-7.74096
6.52632	0.551724	-11.7286	-14.6361	-13.8398	-21.9052	3.59937	-7.74096
7.05263	0.551724	-11.2023	-14.1391	-13.3437	-21.3789	3.07305	-7.74096
7.57895	0.551724	-10.6759	-13.652	-12.8595	-20.8526	2.54673	-7.74096
8.10526	0.551724	-10.1496	-13.1657	-12.3827	-20.3262	2.02042	-7.74096
8.63158	0.551724	-9.6233	-12.6787	-11.9247	-19.7999	1.4941	-7.74096
9.15789	0.551724	-9.09699	-12.1911	-11.5109	-19.2736	0.967787	-7.74096
9.68421	0.551724	-8.57067	-11.7048	-11.1618	-18.7473	0.441471	-7.74096
10.2105	0.551724	-8.04436	-11.2261	-10.8795	-18.221	-0.0848447	-7.74096
10.7368	0.551724	-7.51804	-10.7745	-10.706	-17.6947	-0.61116	-7.74096
11.2632	0.551724	-6.99172	-10.3985	-10.7021	-17.1683	-1.13748	-7.74096
11.7895	0.551724	-6.46541	-10.1775	-10.8769	-16.642	-1.66379	-7.74096
12.3158	0.551724	-5.93909	-10.1719	-11.2002	-16.1157	-2.19011	-7.74096
12.8421	0.551724	-5.41278	-10.3849	-11.6294	-15.5894	-2.71642	-7.74096
13.3684	0.551724	-4.88646	-10.7669	-12.1228	-15.0631	-3.24274	-7.74096
13.8947	0.551724	-4.36015	-11.2454	-12.6483	-14.5368	-3.76906	-7.74096
14.4211	0.551724	-3.83383	-11.7663	-13.1868	-14.0105	-4.29537	-7.74096
14.9474	0.551724	-3.30751	-12.3031	-13.73	-13.4841	-4.82169	-7.74096
15.4737	0.551724	-2.7812	-12.8452	-14.2746	-12.9578	-5.348	-7.74096
16	0.551724	-2.25488	-13.3889	-14.8194	-12.4315	-5.87432	-7.74096
6	0.62069	-12.3928	-15.2157	-14.4191	-22.5005	4.05672	-7.80992
6.52632	0.62069	-11.8665	-14.6361	-13.8398	-21.9742	3.5304	-7.80992
7.05263	0.62069	-11.3402	-14.1391	-13.3437	-21.4478	3.00408	-7.80992
7.57895	0.62069	-10.8139	-13.652	-12.8595	-20.9215	2.47777	-7.80992
8.10526	0.62069	-10.2876	-13.1657	-12.3827	-20.3952	1.95145	-7.80992
8.63158	0.62069	-9.76123	-12.6787	-11.9247	-19.8689	1.42514	-7.80992
9.15789	0.62069	-9.23492	-12.1911	-11.5109	-19.3426	0.898821	-7.80992
9.68421	0.62069	-8.7086	-11.7048	-11.1618	-18.8163	0.372506	-7.80992
10.2105	0.62069	-8.18229	-11.2261	-10.8795	-18.2899	-0.15381	-7.80992
10.7368	0.62069	-7.65597	-10.7745	-10.706	-17.7636	-0.680126	-7.80992
11.2632	0.62069	-7.12966	-10.3985	-10.7021	-17.2373	-1.20644	-7.80992
11.7895	0.62069	-6.60334	-10.1775	-10.8769	-16.711	-1.73276	-7.80992
12.3158	0.62069	-6.07702	-10.1719	-11.2002	-16.1847	-2.25907	-7.80992
12.8421	0.62069	-5.55071	-10.3849	-11.6294	-15.6584	-2.78539	-7.80992
13.3684	0.62069	-5.02439	-10.7669	-12.1228	-15.132	-3.3117	-7.80992
13.8947	0.62069	-4.49808	-11.2454	-12.6483	-14.6057	-3.83802	-7.80992
14.4211	0.62069	-3.97176	-11.7663	-13.1868	-14.0794	-4.36434	-7.80992
14.9474	0.62069	-3.44545	-12.3031	-13.73	-13.5531	-4.89065	-7.80992
15.4737	0.62069	-2.91913	-12.8452	-14.2746	-13.0268	-5.41697	-7.80992
16	0.62069	-2.39281	-13.3889	-14.8194	-12.5005	-5.94328	-7.80992
6	0.689655	-12.5307	-15.2157	-14.4191	-22.5694	3.98775	-7.87889
6.52632	0.689655	-12.0044	-14.6361	-13.8398	-22.0431	3.46143	-7.87889
7.05263	0.689655	-11.4781	-14.1391	-13.3437	-21.5168	2.93512	-7.87889
7.57895	0.689655	-10.9518	-13.652	-12.8595	-20.9905	2.4088	-7.87889
8.10526	0.689655	-10.4255	-13.1657	-12.3827	-20.4642	1.88249	-7.87889
8.63158	0.689655	-9.89917	-12.6787	-11.9247	-19.9379	1.35617	-7.87889
9.15789	0.689655	-9.37285	-12.1911	-11.5109	-19.4115	0.829856	-7.87889
9.68421	0.689655	-8.84653	-11.7048	-11.1618	-18.8852	0.30354	-7.87889
10.2105	0.689655	-8.32022	-11.2261	-10.8795	-18.3589	-0.222776	-7.87889
10.7368	0.689655	-7.7939	-10.7745	-10.706	-17.8326	-0.749092	-7.87889
