t_obs [yr]	z [pc] 	t_lab [yr]	Rc/Rj	g=Gc/Gj	rho_c	rho_j	Lnt	Lnt_obs
4962.78	993.222	3086.35	0.078425	0.127018	9.54285e-28	1.25427e-30	1.22361e+41	1.19192e+41
5089.41	1027.94	3199.94	0.0769065	0.127359	8.88825e-28	1.17098e-30	1.18343e+41	1.15207e+41
5219.66	1063.87	3317.5	0.0754277	0.127701	8.27693e-28	1.09322e-30	1.1446e+41	1.11356e+41
5353.64	1101.05	3439.18	0.0739874	0.128046	7.70617e-28	1.02063e-30	1.10707e+41	1.07635e+41
5491.45	1139.54	3565.1	0.0725842	0.128393	7.1734e-28	9.52853e-31	1.0708e+41	1.04038e+41
5633.22	1179.37	3695.43	0.0712171	0.128742	6.67619e-28	8.8958e-31	1.03574e+41	1.00562e+41
5779.06	1220.59	3830.32	0.0698849	0.129093	6.2123e-28	8.30509e-31	1.00185e+41	9.72014e+40
5929.11	1263.25	3969.91	0.0685865	0.129446	5.77957e-28	7.7536e-31	9.69075e+40	9.39524e+40
6083.48	1307.4	4114.39	0.0673209	0.129802	5.37602e-28	7.23873e-31	9.37384e+40	9.0811e+40
6242.31	1353.1	4263.92	0.066087	0.130161	4.99975e-28	6.75806e-31	9.06736e+40	8.77733e+40
6405.74	1400.39	4418.67	0.0648838	0.130522	4.64899e-28	6.3093e-31	8.77094e+40	8.48356e+40
6573.9	1449.34	4578.83	0.0637104	0.130885	4.3221e-28	5.89034e-31	8.48421e+40	8.19943e+40
6746.94	1500	4744.59	0.0625658	0.131252	4.01751e-28	5.4992e-31	8.20682e+40	7.9246e+40
Lnt total	5.25113e+43
