Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc	Ad
14.8889	10	0	-5.56358	-15.157	-11.2049	-7.47692	-5.862	-9.18923
14.9899	10	0	-5.46257	-15.2611	-11.3043	-7.47692	-5.96301	-9.18923
15.0909	10	0	-5.36156	-15.3653	-11.4044	-7.47692	-6.06402	-9.18923
15.1919	10	0	-5.26055	-15.4695	-11.5051	-7.47692	-6.16503	-9.18923
15.2929	10	0	-5.15954	-15.5737	-11.6063	-7.47692	-6.26604	-9.18923
15.3939	10	0	-5.05853	-15.6778	-11.708	-7.47692	-6.36705	-9.18923
15.4949	10	0	-4.95751	-15.782	-11.81	-7.47692	-6.46806	-9.18923
15.596	10	0	-4.8565	-15.8861	-11.9123	-7.47692	-6.56907	-9.18923
15.697	10	0	-4.75549	-15.9903	-12.0149	-7.47692	-6.67008	-9.18923
15.798	10	0	-4.65448	-16.0944	-12.1177	-7.47692	-6.77109	-9.18923
15.899	10	0	-4.55347	-16.1985	-12.2207	-7.47692	-6.8721	-9.18923
16	10	0	-4.45246	-16.3026	-12.3239	-7.47692	-6.97311	-9.18923
6	10.3339	0.285705	-14.481	-14.7677	-15.0661	-8.20561	3.01263	-9.03031
6.10101	10.3339	0.285705	-14.38	-14.6354	-14.9338	-8.20561	2.91162	-9.03031
6.20202	10.3339	0.285705	-14.279	-14.5157	-14.814	-8.20561	2.81061	-9.03031
6.30303	10.3339	0.285705	-14.178	-14.4038	-14.7022	-8.20561	2.7096	-9.03031
6.40404	10.3339	0.285705	-14.077	-14.2969	-14.5953	-8.20561	2.60859	-9.03031
6.50505	10.3339	0.285705	-13.9759	-14.1933	-14.4916	-8.20561	2.50758	-9.03031
6.60606	10.3339	0.285705	-13.8749	-14.0918	-14.3901	-8.20561	2.40657	-9.03031
6.70707	10.3339	0.285705	-13.7739	-13.9917	-14.29	-8.20561	2.30556	-9.03031
6.80808	10.3339	0.285705	-13.6729	-13.8926	-14.1908	-8.20561	2.20455	-9.03031
6.90909	10.3339	0.285705	-13.5719	-13.7942	-14.0923	-8.20561	2.10354	-9.03031
7.0101	10.3339	0.285705	-13.4709	-13.6962	-13.9942	-8.20561	2.00253	-9.03031
7.11111	10.3339	0.285705	-13.3699	-13.5986	-13.8965	-8.20561	1.90151	-9.03031
7.21212	10.3339	0.285705	-13.2689	-13.5012	-13.799	-8.20561	1.8005	-9.03031
7.31313	10.3339	0.285705	-13.1679	-13.4041	-13.7018	-8.20561	1.69949	-9.03031
7.41414	10.3339	0.285705	-13.0669	-13.3073	-13.6046	-8.20561	1.59848	-9.03031
7.51515	10.3339	0.285705	-12.9658	-13.2106	-13.5077	-8.20561	1.49747	-9.03031
7.61616	10.3339	0.285705	-12.8648	-13.114	-13.4108	-8.20561	1.39646	-9.03031
7.71717	10.3339	0.285705	-12.7638	-13.0177	-13.314	-8.20561	1.29545	-9.03031
7.81818	10.3339	0.285705	-12.6628	-12.9215	-13.2173	-8.20561	1.19444	-9.03031
7.91919	10.3339	0.285705	-12.5618	-12.8256	-13.1207	-8.20561	1.09343	-9.03031
8.0202	10.3339	0.285705	-12.4608	-12.7299	-13.0241	-8.20561	0.992424	-9.03031
8.12121	10.3339	0.285705	-12.3598	-12.6345	-12.9275	-8.20561	0.891414	-9.03031
8.22222	10.3339	0.285705	-12.2588	-12.5394	-12.831	-8.20561	0.790404	-9.03031
8.32323	10.3339	0.285705	-12.1578	-12.4447	-12.7346	-8.20561	0.689394	-9.03031
8.42424	10.3339	0.285705	-12.0568	-12.3505	-12.6381	-8.20561	0.588384	-9.03031
8.52525	10.3339	0.285705	-11.9557	-12.2569	-12.5417	-8.20561	0.487374	-9.03031
8.62626	10.3339	0.285705	-11.8547	-12.164	-12.4454	-8.20561	0.386363	-9.03031
8.72727	10.3339	0.285705	-11.7537	-12.0721	-12.349	-8.20561	0.285353	-9.03031
8.82828	10.3339	0.285705	-11.6527	-11.9812	-12.2527	-8.20561	0.184343	-9.03031
8.92929	10.3339	0.285705	-11.5517	-11.8916	-12.1563	-8.20561	0.0833332	-9.03031
9.0303	10.3339	0.285705	-11.4507	-11.8036	-12.06	-8.20561	-0.0176769	-9.03031
9.13131	10.3339	0.285705	-11.3497	-11.7177	-11.9637	-8.20561	-0.118687	-9.03031
9.23232	10.3339	0.285705	-11.2487	-11.634	-11.8674	-8.20561	-0.219697	-9.03031
9.33333	10.3339	0.285705	-11.1477	-11.5532	-11.7712	-8.20561	-0.320707	-9.03031
9.43434	10.3339	0.285705	-11.0467	-11.4756	-11.6749	-8.20561	-0.421717	-9.03031
9.53535	10.3339	0.285705	-10.9456	-11.4018	-11.5787	-8.20561	-0.522727	-9.03031
9.63636	10.3339	0.285705	-10.8446	-11.3323	-11.4826	-8.20561	-0.623738	-9.03031
9.73737	10.3339	0.285705	-10.7436	-11.2677	-11.3865	-8.20561	-0.724748	-9.03031
9.83838	10.3339	0.285705	-10.6426	-11.2085	-11.2904	-8.20561	-0.825758	-9.03031
9.93939	10.3339	0.285705	-10.5416	-11.1552	-11.1945	-8.20561	-0.926768	-9.03031
10.0404	10.3339	0.285705	-10.4406	-11.1082	-11.0987	-8.20561	-1.02778	-9.03031
10.1414	10.3339	0.285705	-10.3396	-11.0679	-11.003	-8.20561	-1.12879	-9.03031
10.2424	10.3339	0.285705	-10.2386	-11.0347	-10.9075	-8.20561	-1.2298	-9.03031
10.3434	10.3339	0.285705	-10.1376	-11.0087	-10.8122	-8.20561	-1.33081	-9.03031
10.4444	10.3339	0.285705	-10.0365	-10.9901	-10.7173	-8.20561	-1.43182	-9.03031
10.5455	10.3339	0.285705	-9.93554	-10.9789	-10.6228	-8.20561	-1.53283	-9.03031
10.6465	10.3339	0.285705	-9.83453	-10.9753	-10.5287	-8.20561	-1.63384	-9.03031
10.7475	10.3339	0.285705	-9.73352	-10.979	-10.4353	-8.20561	-1.73485	-9.03031
10.8485	10.3339	0.285705	-9.63251	-10.9901	-10.3426	-8.20561	-1.83586	-9.03031
10.9495	10.3339	0.285705	-9.5315	-11.0084	-10.2509	-8.20561	-1.93687	-9.03031
11.0505	10.3339	0.285705	-9.43049	-11.0336	-10.1604	-8.20561	-2.03788	-9.03031
11.1515	10.3339	0.285705	-9.32948	-11.0655	-10.0714	-8.20561	-2.13889	-9.03031
11.2525	10.3339	0.285705	-9.22847	-11.1039	-9.98409	-8.20561	-2.2399	-9.03031
11.3535	10.3339	0.285705	-9.12746	-11.1483	-9.89896	-8.20561	-2.34091	-9.03031
11.4545	10.3339	0.285705	-9.02645	-11.1986	-9.81641	-8.20561	-2.44192	-9.03031
11.5556	10.3339	0.285705	-8.92544	-11.2543	-9.73691	-8.20561	-2.54293	-9.03031
11.6566	10.3339	0.285705	-8.82443	-11.315	-9.66097	-8.20561	-2.64394	-9.03031
11.7576	10.3339	0.285705	-8.72342	-11.3805	-9.58915	-8.20561	-2.74495	-9.03031
11.8586	10.3339	0.285705	-8.62241	-11.4502	-9.522	-8.20561	-2.84596	-9.03031
11.9596	10.3339	0.285705	-8.5214	-11.5239	-9.4601	-8.20561	-2.94697	-9.03031
12.0606	10.3339	0.285705	-8.42039	-11.6012	-9.40398	-8.20561	-3.04798	-9.03031
12.1616	10.3339	0.285705	-8.31938	-11.6818	-9.35414	-8.20561	-3.14899	-9.03031
12.2626	10.3339	0.285705	-8.21837	-11.7654	-9.31101	-8.20561	-3.25	-9.03031
12.3636	10.3339	0.285705	-8.11736	-11.8516	-9.27495	-8.20561	-3.35101	-9.03031
12.4646	10.3339	0.285705	-8.01635	-11.9402	-9.24622	-8.20561	-3.45202	-9.03031
