t_obs [yr]	z [pc] 	t_lab [yr]	Rc/Rj	g=Gc/Gj	rho_c	rho_j	Lnt	Lnt_obs
4658.23	435.468	1261.3	0.365366	0.107744	9.55132e-28	6.52483e-31	1.11987e+41	1.09681e+41
4766.09	450.689	1311.11	0.356603	0.107879	8.94667e-28	6.09156e-31	1.08975e+41	1.0669e+41
4876.67	466.441	1362.65	0.348101	0.108015	8.37852e-28	5.68706e-31	1.06051e+41	1.03785e+41
4990.06	482.745	1416	0.339851	0.108152	7.84476e-28	5.30942e-31	1.03214e+41	1.00966e+41
5106.34	499.618	1471.21	0.331845	0.108289	7.3434e-28	4.95685e-31	1.00461e+41	9.82296e+40
5225.61	517.081	1528.35	0.324077	0.108426	6.87256e-28	4.6277e-31	9.77903e+40	9.55734e+40
5347.96	535.154	1587.49	0.316538	0.108564	6.43047e-28	4.3204e-31	9.51984e+40	9.29951e+40
5473.47	553.859	1648.69	0.309222	0.108703	6.01547e-28	4.03351e-31	9.26834e+40	9.04923e+40
5602.24	573.218	1712.04	0.302121	0.108842	5.62597e-28	3.76567e-31	9.02429e+40	8.80629e+40
5734.37	593.253	1777.6	0.295229	0.108982	5.26049e-28	3.51562e-31	8.78745e+40	8.57045e+40
5869.96	613.989	1845.45	0.288539	0.109122	4.91763e-28	3.28217e-31	8.55761e+40	8.34149e+40
6009.12	635.449	1915.67	0.282045	0.109263	4.59606e-28	3.06422e-31	8.33454e+40	8.1192e+40
6151.94	657.66	1988.34	0.27574	0.109405	4.29453e-28	2.86075e-31	8.11802e+40	7.90337e+40
6298.55	680.647	2063.56	0.269618	0.109548	4.01186e-28	2.67078e-31	7.90786e+40	7.69379e+40
6449.04	704.437	2141.4	0.263674	0.109691	3.74693e-28	2.49343e-31	7.70383e+40	7.49028e+40
6603.55	729.059	2221.97	0.257901	0.109835	3.49869e-28	2.32786e-31	7.50575e+40	7.29262e+40
6762.17	754.541	2305.35	0.252295	0.109981	3.26615e-28	2.17328e-31	7.31343e+40	7.10064e+40
6925.05	780.914	2391.65	0.246848	0.110126	3.04837e-28	2.02897e-31	7.12667e+40	6.91415e+40
7092.29	808.209	2480.96	0.241558	0.110273	2.84446e-28	1.89424e-31	6.94529e+40	6.73297e+40
7264.04	836.458	2573.39	0.236417	0.110421	2.65359e-28	1.76845e-31	6.76913e+40	6.55694e+40
7440.42	865.694	2669.06	0.231421	0.11057	2.47496e-28	1.65102e-31	6.598e+40	6.38588e+40
7621.57	895.953	2768.07	0.226566	0.110719	2.30784e-28	1.54139e-31	6.43174e+40	6.21963e+40
7807.63	927.268	2870.54	0.221847	0.11087	2.15153e-28	1.43903e-31	6.27019e+40	6.05804e+40
7998.74	959.679	2976.59	0.21726	0.111022	2.00536e-28	1.34348e-31	6.11321e+40	5.90095e+40
8195.05	993.222	3086.35	0.212799	0.111175	1.86871e-28	1.25427e-31	5.96063e+40	5.74822e+40
8396.72	1027.94	3199.94	0.208462	0.111328	1.741e-28	1.17098e-31	5.81231e+40	5.59971e+40
8603.89	1063.87	3317.5	0.204243	0.111484	1.62166e-28	1.09322e-31	5.66811e+40	5.45527e+40
8816.74	1101.05	3439.18	0.200139	0.11164	1.51018e-28	1.02063e-31	5.52789e+40	5.31478e+40
9035.42	1139.54	3565.1	0.196147	0.111797	1.40607e-28	9.52853e-32	5.39153e+40	5.1781e+40
9260.1	1179.37	3695.43	0.192262	0.111956	1.30886e-28	8.8958e-32	5.2589e+40	5.04512e+40
9490.97	1220.59	3830.32	0.188481	0.112116	1.21812e-28	8.30509e-32	5.12988e+40	4.9157e+40
9728.19	1263.25	3969.91	0.184801	0.112277	1.13344e-28	7.7536e-32	5.00434e+40	4.78975e+40
9971.96	1307.4	4114.39	0.181218	0.112439	1.05444e-28	7.23873e-32	4.88217e+40	4.66713e+40
10222.5	1353.1	4263.92	0.177729	0.112603	9.80743e-29	6.75806e-32	4.76327e+40	4.54776e+40
10479.9	1400.39	4418.67	0.174331	0.112769	9.12022e-29	6.3093e-32	4.64752e+40	4.43151e+40
10744.5	1449.34	4578.83	0.171022	0.112935	8.47953e-29	5.89034e-32	4.53483e+40	4.3183e+40
11016.4	1500	4744.59	0.167798	0.113104	7.88235e-29	5.4992e-32	4.4251e+40	4.20803e+40
Lnt total	1.67862e+43
