log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
8.40743	51.7476	359.59	-121.322	37.5241	39.0143	34.3878	39.0281
8.63975	51.7476	359.59	-236.785	37.6025	39.1382	34.5016	39.1506
8.87207	51.7476	359.59	0	37.7421	39.2743	34.5965	39.2868
9.1044	51.7476	359.59	0	37.8046	39.3694	34.711	39.381
9.33672	51.7476	359.59	0	37.8625	39.5143	34.8173	39.5239
9.56904	51.7476	359.59	0	37.9253	39.5676	34.9049	39.5774
9.80137	51.7476	359.59	0	38.0057	39.7129	35.016	39.7214
10.0337	51.7476	359.59	0	37.943	39.827	35.1259	39.8327
10.266	51.7476	359.59	0	38.0816	39.9808	35.2102	39.9862
10.4983	51.7476	359.59	0	37.9954	40.0265	35.321	40.0306
10.7307	51.7476	359.59	0	38.1368	40.1189	35.4208	40.1234
10.963	51.7476	359.59	0	38.0406	40.2586	35.4821	40.2613
11.1953	51.7476	359.59	0	38.0138	40.2824	35.6155	40.2848
11.4276	51.7476	359.59	0	37.7375	40.3679	35.6924	40.3689
11.66	51.7476	359.59	0	37.5941	40.4292	35.7588	40.4299
11.8923	51.7476	359.59	0	37.9473	40.5174	35.863	40.5185
12.1246	51.7476	359.59	0	37.0813	40.4767	35.862	40.4769
12.3569	51.7476	359.59	0	36.9019	40.5464	36.0268	40.5465
12.5892	51.7476	359.59	0	37.2054	40.4648	35.9919	40.4651
12.8216	51.7476	359.59	0	37.3143	40.5673	36.062	40.5675
13.0539	51.7476	359.59	0	36.1297	40.4356	36.1312	40.4356
13.2862	51.7476	359.59	0	36.3734	40.6319	36.0391	40.632
13.5185	51.7476	359.59	0	36.3162	40.5255	36.1016	40.5255
13.7509	51.7476	359.59	0	35.236	39.7856	36.0142	39.7856
13.9832	51.7476	359.59	0	35.3971	39.9453	35.8321	39.9454
14.2155	51.7476	359.59	0	35.1622	39.7131	35.7221	39.7131
14.4478	51.7476	359.59	0	35.8177	40.2328	35.3956	40.2328
14.6802	51.7476	359.59	0	33.3813	38.008	34.6125	38.0082
14.9125	51.7476	359.59	0	0	0	0	0
15.1448	51.7476	359.59	0	0	0	0	0
15.3771	51.7476	359.59	0	0	0	0	0
15.6094	51.7476	359.59	0	0	0	0	0
15.8418	51.7476	359.59	0	0	0	0	0
16.0741	51.7476	359.59	0	0	0	0	0
16.3064	51.7476	359.59	0	0	0	0	0
16.5387	51.7476	359.59	0	0	0	0	0
16.7711	51.7476	359.59	0	0	0	0	0
17.0034	51.7476	359.59	0	0	0	0	0
-5.99286	53.5563	531.989	34.5199	0	0	0	34.5199
-5.76053	53.5563	531.989	34.6345	0	0	23.8778	34.6345
-5.52821	53.5563	531.989	34.7545	0	0	24.4791	34.7545
-5.29589	53.5563	531.989	34.8678	0	0	24.963	34.8678
-5.06356	53.5563	531.989	34.9825	0	0	25.3992	34.9825
-4.83124	53.5563	531.989	35.1041	0	0	25.8028	35.1041
-4.59892	53.5563	531.989	35.2189	0	0	26.1734	35.2189
-4.36659	53.5563	531.989	35.3322	0	0	26.4831	35.3322
-4.13427	53.5563	531.989	35.4518	0	0	26.774	35.4518
-3.90195	53.5563	531.989	35.5654	0	0	27.0485	35.5654
-3.66962	53.5563	531.989	35.6774	0	24.3435	27.2945	35.6774
-3.4373	53.5563	531.989	35.7983	0	25.5825	27.5241	35.7983
-3.20498	53.5563	531.989	35.9158	0	26.4829	27.7448	35.9158
-2.97265	53.5563	531.989	36.0297	0	27.2887	27.9582	36.0297
-2.74033	53.5563	531.989	36.1498	0	28.0464	28.148	36.1498
-2.50801	53.5563	531.989	36.2655	0	28.7738	28.3371	36.2655
-2.27568	53.5563	531.989	36.3764	0	29.4788	28.5257	36.3764
-2.04336	53.5563	531.989	36.4952	0	30.1633	28.6922	36.4952
-1.81104	53.5563	531.989	36.6135	0	30.8247	28.8636	36.6135
-1.57871	53.5563	531.989	36.7265	22.2568	31.4537	29.0371	36.7265
-1.34639	53.5563	531.989	36.8458	25.186	32.0335	29.1932	36.8458
-1.11407	53.5563	531.989	36.964	26.0721	32.5429	29.3476	36.964
-0.881745	53.5563	531.989	37.0749	26.8417	32.9743	29.51	37.0749
-0.649422	53.5563	531.989	37.1916	27.5678	33.352	29.6571	37.1916
-0.417099	53.5563	531.989	37.3102	28.2718	33.6986	29.8069	37.3103
-0.184775	53.5563	531.989	37.4223	28.9613	34.0129	29.9604	37.4225
0.0475478	53.5563	531.989	37.54	29.6376	34.2881	30.102	37.5402
0.279871	53.5563	531.989	37.6603	30.2981	34.5278	30.2438	37.6606
0.512194	53.5563	531.989	37.7723	30.9341	34.7552	30.3918	37.7728
0.744517	53.5563	531.989	37.8871	31.5306	34.9616	30.5311	37.8877
0.976841	53.5563	531.989	38.0056	32.0658	35.1516	30.6728	38.0062
1.20916	53.5563	531.989	38.1163	32.5236	35.3199	30.8175	38.117
1.44149	53.5563	531.989	38.2297	32.9167	35.4958	30.9505	38.2305
1.67381	53.5563	531.989	38.3489	33.2737	35.6546	31.0894	38.3498
1.90613	53.5563	531.989	38.4603	33.5992	35.7926	31.2288	38.4613
2.13846	53.5563	531.989	38.5707	33.8881	35.9459	31.3617	38.5717
2.37078	53.5563	531.989	38.6846	34.1422	36.0805	31.5002	38.6857
2.6031	53.5563	531.989	38.7887	34.3677	36.1892	31.6393	38.7899
2.83543	53.5563	531.989	38.8894	34.5915	36.3285	31.7656	38.8906
3.06775	53.5563	531.989	38.9952	34.7842	36.4658	31.908	38.9965
3.30007	53.5563	531.989	39.0911	34.9518	36.5917	32.0426	39.0925
3.5324	53.5563	531.989	39.1784	35.1312	36.7021	32.1679	39.1799
3.76472	53.5563	531.989	39.2665	35.2946	36.844	32.296	39.2682
3.99704	53.5563	531.989	39.3394	35.4273	36.953	32.4334	39.3412
4.22937	53.5563	531.989	39.3949	35.5793	37.0645	32.5633	39.397
4.46169	53.5563	531.989	39.4502	35.7264	37.2196	32.6908	39.4529
4.69401	53.5563	531.989	39.4898	35.8568	37.2785	32.8239	39.4925
4.92634	53.5563	531.989	39.5002	35.9732	37.4363	32.9505	39.504
5.15866	53.5563	531.989	39.4991	36.1042	37.5116	33.0773	39.5037
5.39098	53.5563	531.989	39.4645	36.2408	37.6622	33.2056	39.4716
5.62331	53.5563	531.989	39.3422	36.3503	37.7484	33.3322	39.3536
5.85563	53.5563	531.989	39.1289	36.4838	37.9137	33.4466	39.1555
6.08795	53.5563	531.989	38.8458	36.618	37.9988	33.5854	38.9058
6.32028	53.5563	531.989	38.4345	36.6912	38.1451	33.7	38.6197
6.5526	53.5563	531.989	37.7455	36.8441	38.2435	33.8158	38.3763
